"Moth (Lepidoptera) data from Valles Caldera National Preserve, New Mexico",.,.,.,.,.,.,.,Site,MC01,MC01,MC01,MC04,MC04,MC04,MC05,MC05,MC05,MC06,MC06,MC06,MC09,MC09,MC09,MC10,MC10,MC10,MC11,MC11,MC11,MC12,MC12,MC12,PP02,PP02,PP02,PP03,PP03,PP03,PP04,PP04,PP04,PP06,PP06,PP06,PP07,PP07,PP07,PP10,PP10,PP10,PP11,PP11,PP11,PP12,PP12,PP12
"Data collected in 2012, the first year following the 2011 Las Conchas Fire.",.,.,.,.,.,.,.,Dates,6/14-6/15,7/15-7/16,8/27-8/29,6/20-6/21,7/19/-7/20,8/28-8/29,6/12-6/13,7/11-7/12,8/23-8/24,6/12-6/13,7/19/-7/20,8/28-8/29,6/12-6/13,7/17-7/18,8/21-8/22,6/12-6/13,7/15-7/16,8/22-8/23,6/13-6/14,7/11-7/12,8/22-8/23,6/13-6/14,7/17-7/18,8/29-8/30,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/9-7/10,8/21-8/22,6/20-6/21,7/19/-7/20,8/28-8/29,6/5-6/6,7/24-7/25,8/26-8/27,6/8-6/9,7/17-7/18,8/21-8/22,6/5-6/6,7/9-7/10,8/22-8/23,6/8-6/9,7/9-7/10,8/26-8/27,6/5-6/6,7/16-7/17,8/21-8/22
.,.,.,.,.,.,.,.,Forest Type,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,MixCon,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa,Ponderosa
.,.,.,.,.,.,.,.,Treatment,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Burned,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
.,.,.,.,.,.,.,.,Replicate,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4,1,1,1,2,2,2,3,3,3,4,4,4
.,.,.,.,.,.,.,.,Collection,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Family,Sub-family,Tribe,Genus,species,No. collected,Genus species (Authority),Host plant category,Sp. Code,Record-1,Record-2,Record-3,Record-4,Record-5,Record-6,Record-7,Record-8,Record-9,Record-10,Record-11,Record-12,Record-13,Record-14,Record-15,Record-16,Record-17,Record-18,Record-19,Record-20,Record-21,Record-22,Record-23,Record-24,Record-25,Record-26,Record-27,Record-28,Record-29,Record-30,Record-31,Record-32,Record-33,Record-34,Record-35,Record-36,Record-37,Record-38,Record-39,Record-40,Record-41,Record-42,Record-43,Record-44,Record-45,Record-46,Record-47,Record-48
Drepanidae,Thyatirinae,,Habrosyne,scripta,1,Habrosyne scripta (Gosse),Shrub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,f-pallida,1,Grammia f-pallida (Strecker),Herbaceous,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,parthenice,12,Grammia parthenice (W. Kirby),Herbaceous,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Grammia,williamsii,82,Grammia williamsii (Dodge),Herbaceous,4,1,1,1,3,0,0,0,0,0,0,0,0,1,5,0,5,8,0,10,0,0,5,5,0,2,1,0,1,2,0,3,0,0,1,1,0,3,0,0,3,4,0,12,1,0,3,0,0
Erebidae,Arctiinae,Arctiini,Haploa,colona,2,Haploa colona (Hübner),Broadleaf trees/shrubs,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Erebidae,Arctiinae,Arctiini,Hypercompe,permaculata,95,Hypercompe permaculata (Packard),Herbaceous,6,0,0,0,2,0,2,0,5,0,1,0,0,2,2,0,12,6,1,0,1,0,1,0,0,2,0,0,0,4,0,2,0,0,0,0,0,4,2,0,1,0,0,6,34,0,3,2,0
Erebidae,Arctiinae,Arctiini,Lophocampa,argentata,1,Lophocampa argentata (Packard),Conifers,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Lophocampa,ingens,15,Lophocampa ingens (Hy. Edwards),Pines,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13
Erebidae,Arctiinae,Arctiini,Lophocampa,maculata,4,Lophocampa maculata Harris,Broadleaf trees/shrubs,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Arctiinae,Arctiini,Pseudohemihyalea,ambigua,18,Pseudohemihyalea ambigua (Strecker),Pines,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0
Erebidae,Arctiinae,Arctiini,Pseudohemihyalea,labecula,38,Pseudohemihyalea labecula Grote,Oaks,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,25
Erebidae,Arctiinae,Arctiini,Virbia,fragilis,2,Virbia fragilis (Strecker),Herbaceous,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Erebidae,Erebinae,Catocalini,Catocala,alohibah,2,Catocala aholibah Strecker,Oaks,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Erebidae,Erebinae,Catocalini,Catocala,grotiana,4,Catocala grotiana Bailey,Broadleaf trees/shrubs,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Erebinae,Catocalini,Catocala,junctura,1,Catocala junctura Walker,Broadleaf trees/shrubs,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Erebinae,Catocalini,Catocala,semirelicta,2,Catocala semirelicta Grote,Broadleaf trees/shrubs,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Erebidae,Erebinae,Euclidiini,Caenurgina,erechtea,1,Caenurgina erechtea (Cramer),Herbaceous,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Erebinae,Euclidiini,Callistege,interclaris,9,Callistege intercalaris (Grote),Herbaceous,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Erebinae,Melipotini,Cissusa,indiscreta,51,Cissusa indiscreta (H. Edwards),Oaks,19,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,38,0,0,0,0
Erebidae,Erebinae,Ophiusini,Euparthenos,nubilis,11,Euparthenos nubilis (Hübner),Broadleaf trees/shrubs,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Erebidae,Herminiinae,Eriopygini,Idia,americalis,1,Idia americalis (Guenée),Fungi,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erebidae,Lymantriinae,Orgyiini,Orgyia,pseudotsugata,1,Orgyia pseudotsugata (McDunnough),Conifers,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Geometridae,Ennominae,Anagogini,Metanema,inatomaria,14,Metanema inatomaria Guenée,Broadleaf trees/shrubs,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Anzelinini,Pero,behrensaria,116,Pero behrensaria (Packard),Conifers,24,0,0,0,1,0,0,2,0,0,0,0,0,42,2,0,11,16,0,2,0,0,24,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,2,0,0,0,0
Geometridae,Ennominae,Bistonini,Biston,betularia ,10,Biston betularia Linnaeus,Broadleaf trees/shrubs,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Geometridae,Ennominae,Boarmiini,Glena,macdunnougharia,9,Glena macdunnougharia Sperry,Unknown,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0
Geometridae,Ennominae,Boarmiini,Glena,nigricaria,6,Glena nigricaria (Barnes & McDunnough),Conifers,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Boarmiini,Mericisca,gracea,188,Mericisca gracea Hulst,Unknown,28,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,18,0,1,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,36,11,2,64,10,0,2,0
Geometridae,Ennominae,Boarmiini,Stenoporpia,excelsaria,208,"Stenoporpia excelsaria (Strecker, 1899)",Conifers,29,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,49,6,0,17,0,0,49,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,35,0,0,2,0,0
Geometridae,Ennominae,Boarmiini,Stenoporpia,glaucomarginaria ,1,Stenoporpia glaucomarginaria McDunnough ,Unknown,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Boarmiini,Stenoporpia,separataria,56,Stenoporpia separataria (Grote),Conifers,31,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,8,0,0,3,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,3,0,0,10,0,0,10,0
Geometridae,Ennominae,Caberini,Apodrepanulatrix,litaria,48,Apodrepanulatrix litaria (Hulst),Shrub,32,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,33,0,0,0,0,0
Geometridae,Ennominae,Macariini,Digrammia,californiaria,23,Digrammia californiaria (Packard),Unknown,33,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Geometridae,Ennominae,Macariini,Macaria,adonis,1,Macaria adonis (Barnes & McDunnough),Pines,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Macariini,Macaria,plumosata,5,Macaria plumosata Barnes & McDunnough,Unknown,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Macariini,Macaria,unipunctaria,62,Macaria unipunctaria (W.S. Wright),Conifers,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Macariini,Speranza,flavicaria,21,Speranza flavicaria (Packard),Unknown,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Geometridae,Ennominae,Melanolophiini,Galenara,lallata,33,Galenara lallata (Hulst),Unknown,38,0,0,0,1,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0
Geometridae,Ennominae,Melanolophiini,Galenara,lixarioides,7,Galenara lixarioides McDunnough,Unknown,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
Geometridae,Ennominae,Melanolophiini,Galenara,stenomacra,4,Galenara stenomacra Rindge,Unknown,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Geometridae,Ennominae,Melanolophiini,Vinemina,opacaria,1,Vinemina opacaria (Hulst),Unknown,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Geometridae,Ennominae,Nacophorini,Gabriola,dyari,63,Gabriola dyari Taylor,Conifers,42,0,3,0,0,0,0,0,2,0,0,0,0,0,9,0,0,14,0,0,15,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,6,0
Geometridae,Ennominae,Nacophorini,Nacophora,kirkwoodi,1,Nacophora kirkwoodi (Rindge),Unknown,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Nacophorini,Nacophora,mexicanaria,97,Nacophora mexicanaria (Grote),Broadleaf trees/shrubs,44,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,5,0,30,25,0,12,1,0
Geometridae,Ennominae,Ourapterygini,Caripeta ,aequaliaria,24,Caripeta aequaliaria Grote,Conifers,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,1,1,1,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Enypia,venata,40,Enypia venata (Grote),Conifers,46,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Lychnosea,helveolaria,98,Lychnosea helveolaria (Hulst),Unknown,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,11,0,0,4,7,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,6,9,0,7,9,0,3,1,0,0
Geometridae,Ennominae,Ourapterygini,Nemeris,speciosa,19,Nemeris speciosa (Hulst),Unknown,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Nepytia,janetae,1,Nepytia janetae Rindge,Pines,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Prochoerodes,forficaria,8,Prochoerodes forficaria (Guenée),Broadleaf trees/shrubs,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Sabulodes,niveostriata,13,Sabulodes niveostriata (T.D. A. Cockerell),Pines,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Sicya,macularia,10,Sicya macularia (Harris),Broadleaf trees/shrubs,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Snowia,montanaria,2,Snowia montanaria Neumoegen,Unknown,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Ennominae,Ourapterygini,Somatolophia,sp.,1,Somatolophia sp.,Unknown,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Geometridae,Geometrinae,Nemoriini,Nemoria,sp.,6,Nemoria sp. ,Unknown,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Geometridae,Larentiinae,Eupitheciini,Eupithecea,anticaria,1,Eupithecia anticaria Walker,Herbaceous,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Eupitheciini,Eupithecea,cretaceata,1,Eupithecia cretaceata (Packard),Herbaceous,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Eupitheciini,Eupithecea,sp.,4,Eupithecia sp. ,Unknown,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Coryphista,meadi,9,Coryphista meadi Packard,Shrub,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
Geometridae,Larentiinae,Hydriomenini,Ecliptoptera,silaceata,24,Ecliptoptera silaceata (Denis & Schiffermuller),Herbaceous,60,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
