"Moth (Lepidoptera) data from Valles Caldera National Preserve, New Mexico",.,.,.,.,.,.,.,Site,MC01,MC01,MC01,MC04,MC04,MC04,MC05,MC05,MC05,MC06,MC06,MC06,MC09,MC09,MC09,MC10,MC10,MC10,MC11,MC11,MC11,MC12,MC12,MC12,PP02,PP02,PP02,PP03,PP03,PP03,PP04,PP04,PP04,PP06,PP06,PP06,PP07,PP07,PP07,PP10,PP10,PP10,PP11,PP11,PP11,PP12,PP12,PP12
Noctuidae,Noctuinae,Noctuini,Dichagyris,grotei,1,Dichagyris grotei  (Franclemont & Todd),Shrub,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Noctuidae,Noctuinae,Noctuini,Eurois,nigra,22,Eurois nigra (Smith),Polyphagous,136,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Eurois,occulta,13,Eurois occulta (Linnaeus),Polyphagous,137,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Noctuidae,Noctuinae,Noctuini,Euxoa,antica,1,Euxoa antica Lafontaine,Unknown,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,atomaris,35,Euxoa atomaris (Smith),Herbaceous,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,0,0,7,1,0,8,0,0,2,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,auxiliaris,2349,Euxoa auxiliaris (Grote),Herbaceous,140,18,1,0,191,1,0,25,4,0,65,0,0,111,1,0,59,3,0,151,0,12,746,0,0,26,1,0,248,2,0,273,0,0,25,2,0,18,1,1,15,3,0,331,0,0,15,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,basalis,4,Euxoa basalis (Grote),Herbaceous,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noctuidae,Noctuinae,Noctuini,Euxoa,bochus,2,Euxoa bochus (Morrison),Herbaceous,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,castanea,2,Euxoa castanea Lafontaine,Herbaceous,143,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,comosa,32,Euxoa comosa (Morrison),Herbaceous,144,0,0,7,3,1,6,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,declarata,5,Euxoa declarata (Walker),Herbaceous,145,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,divergens,9,Euxoa divergens (Walker),Herbaceous,146,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,flavidens,293,Euxoa flavidens (Smith),Herbaceous,147,0,7,1,17,73,1,0,6,0,0,3,0,0,9,8,0,24,1,0,12,6,0,12,0,0,8,4,0,5,4,35,19,0,0,17,0,0,1,1,0,9,1,0,0,0,0,6,3
Noctuidae,Noctuinae,Noctuini,Euxoa,idahoensis,7,Euxoa idahoensis (Grote),Herbaceous,148,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Noctuidae,Noctuinae,Noctuini,Euxoa,lewisi,4,Euxoa lewisi (Grote),Herbaceous,149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Noctuidae,Noctuinae,Noctuini,Euxoa,messoria,59,Euxoa messoria (Harris),Herbaceous,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,2,4,0,0,11,0,0,0,0,0,6,0,0,0,7,0,1,0,0,2,0,0,5,0,0,1,0,0,10,0,1,0
Noctuidae,Noctuinae,Noctuini,Euxoa,olivia,50,Euxoa olivia (Morrison),Herbaceous,151,0,0,5,0,0,3,0,2,0,0,0,0,5,0,5,4,2,3,0,0,0,4,0,0,0,1,5,0,1,0,1,1,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,pleuritica,1,Euxoa pleuritica (Grote),Herbaceous,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,pluralis,7,Euxoa pluralis (Grote),Herbaceous,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,rockburnei,5,Euxoa rockburnei Hardwick,Herbaceous,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa,servitus,171,Euxoa servitus (Smith),Herbaceous,155,0,1,8,0,6,0,0,8,0,0,0,3,0,28,2,0,11,9,0,17,0,0,8,2,0,3,1,0,2,2,0,5,1,0,2,4,0,0,5,0,11,7,0,2,12,0,11,0
Noctuidae,Noctuinae,Noctuini,Euxoa,terrealis,23,Euxoa terrealis (Grote),Herbaceous,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,1,3,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #01,#01,1,Euxoa unknown sp. #01,Herbaceous,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #02,#02,1,Euxoa unknown sp. #02,Herbaceous,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #03,#03,1,Euxoa unknown sp. #03,Herbaceous,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #04,#04,1,Euxoa unknown sp. #04,Herbaceous,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #05,#05,2,Euxoa unknown sp. #05,Herbaceous,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #06,#06,1,Euxoa unknown sp. #06,Herbaceous,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #07,#07,1,Euxoa unknown sp. #07,Herbaceous,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #08,#08,3,Euxoa unknown sp. #08,Herbaceous,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #09,#09,1,Euxoa unknown sp. #09,Herbaceous,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #10,#10,1,Euxoa unknown sp. #10,Herbaceous,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #11,#11,1,Euxoa unknown sp. #11,Herbaceous,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #12,#12,4,Euxoa unknown sp. #12,Herbaceous,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #13,#13,2,Euxoa unknown sp. #13,Herbaceous,169,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Euxoa sp. #14,#14,4,Euxoa unknown sp. #14,Herbaceous,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Feltia,jaculifera,34,Feltia jaculifera Guenée,Herbaceous,171,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,4,0,0,0
Noctuidae,Noctuinae,Noctuini,Mamestra,configurata,1,Mamestra configurata (Walker),Herbaceous,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Noctua,pronuba,6,Noctua pronuba (Linnaeus),Herbaceous,173,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Ochropleura,implecta,11,Ochropleura implecta Lafontaine,Herbaceous,174,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Parabagrotis,sp.,13,Parabagrotis sp.,Herbaceous,175,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Paradiarsia,littoralis,52,Paradiarsia littoralis (Packard),Polyphagous,176,1,0,0,0,0,0,0,1,0,0,0,0,5,1,0,14,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,10,0,0,2,0,0
Noctuidae,Noctuinae,Noctuini,Peridroma,saucia,80,Peridroma saucia (Hübner),Herbaceous,177,0,2,0,6,0,0,4,0,0,1,0,0,6,0,0,8,0,0,2,0,1,7,0,0,0,0,0,19,0,0,11,0,0,0,0,0,5,0,1,1,0,0,6,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Protolampra,rufipectus,24,Protolampra rufipectus (Morrison),Broadleaf trees/shrubs,178,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Noctuidae,Noctuinae,Noctuini,Richia,parentalis,176,Richia parentalis (Grote),Unknown,179,0,0,0,0,0,4,0,0,3,0,0,1,0,0,11,0,0,71,0,0,3,0,0,0,0,0,1,0,0,20,0,0,3,0,0,2,0,0,1,0,0,15,0,0,14,0,0,27
Noctuidae,Noctuinae,Noctuini,Richia,praefixa,297,Richia praefixa (Morrison),Unknown,180,0,0,23,0,0,4,0,0,4,0,0,9,0,0,52,0,0,9,0,0,26,0,0,30,0,0,11,0,0,2,0,0,9,0,0,28,0,0,27,0,0,38,0,0,17,0,0,8
Noctuidae,Noctuinae,Noctuini,Setagrotis,vocalis,31,Setagrotis vocalis (Grote),Broadleaf trees/shrubs,181,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Spaelotis,bicava,1,Spaelotis bicava Lafontaine,Herbaceous,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Spaelotis,clandestina,1,Spaelotis clandestina (Harris),Polyphagous,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Spaelotis,velicava,319,Spaelotis velicava Lafontaine,Polyphagous,184,2,0,0,69,1,0,5,0,0,3,0,0,36,0,0,11,4,2,30,1,0,77,1,0,0,0,0,5,2,0,53,0,0,0,0,0,2,0,0,0,0,0,11,1,2,0,1,0
Noctuidae,Noctuinae,Noctuini,Tesagrotis,piscipellis,1,Tesagrotis piscipellis (Grote),Shrub,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Xestia,bolteri,58,Xestia bolteri (Smith),Polyphagous,186,0,0,0,8,0,0,0,0,0,0,0,0,5,1,0,9,2,0,3,3,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,0,1,0,0,3,6,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Xestia,c-nigrum,1,Xestia c-nigrum (Linnaeus),Polyphagous,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Noctuini,Xestia,conchis,53,Xestia conchis (Grote),Polyphagous,188,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1,1,7,1,11,0,2,4,4,0,0,1,0,0,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1
Noctuidae,Noctuinae,Noctuini,Xestia,smithii,2,Xestia smithii (Snellen),Polyphagous,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Tholerini,Nephelodes,minians,175,Nephelodes minians Guenée,Herbaceous,190,0,0,2,0,0,0,0,0,6,0,0,1,0,0,63,0,0,13,0,0,13,0,1,3,0,0,4,0,0,13,0,0,0,0,0,1,0,0,44,0,0,8,0,0,0,0,0,3
Noctuidae,Noctuinae,Xylenini,Cosmia,calami,4,Cosmia calami (Harvey),Oaks,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Noctuidae,Noctuinae,Xylenini,Cosmia,praeacuta,1,Cosmia praeacuta (Smith),Conifers,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Xylenini,Enargia,decolor,1,Enargia decolor (Walker),Broadleaf trees/shrubs,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Xylenini,Enargia,infumata,14,Enargia infumata (Grote),Broadleaf trees/shrubs,194,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Noctuinae,Xylenini,Pseudanarta,flavidens,39,Pseudanarta flavidens (Grote),Herbaceous,195,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,10,0,0,0
Noctuidae,Oncocnemidinae,,Sympistis,sp.,1,Sympistis sp.,Unknown,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Pantheinae,,Panthea,gigantea,1,Panthea gigantea (French),Pines,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noctuidae,Pantheinae,,Panthea,virginarius,2,Panthea virginarius (Grote),Conifers,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Noctuidae,Plusiinae,Plusiini,Anagrapha,falcifera,2,Anagrapha falcifera (Kirby),Herbaceous,199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Plusiinae,Plusiini,Plusia,putnami,1,Plusia putnami (Grote),Herbaceous,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae,Plusiinae,Plusiini,Syngrapha,angulidens,12,Syngrapha angulidens (Smith),Conifers,201,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Notodontidae,Heterocampinae,,Heterocampa,lunata,1,Heterocampa lunata H. Edwards,Broadleaf trees/shrubs,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notodontidae,Heterocampinae,,Oligocentria,coloradensis,1,Oligocentria coloradensis (H. Edwards),Unknown,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notodontidae,Phalerinae,,Nadata,gibbosa,3,Nadata gibbosa Smith,Broadleaf trees/shrubs,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Saturniidae,Hemileucinae,,Coloradia,doris,35,Coloradia doris Barnes,Pines,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,14,1,0,1,0,12
Saturniidae,Saturniinae,Saturniini,Antheraea,polyphemus,1,Antheraea polyphemus (Cramer),Broadleaf trees/shrubs,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sphingidae ,Macroglossinae,Macroglossini,Hyles,lineata,11,Hyles lineata (Fabricius),Herbaceous,207,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sphingidae ,Smerinthinae,Smerinthini,Pachysphinx,modesta,2,Pachysphinx modesta (Harris),Broadleaf trees/shrubs,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingidae ,Smerinthinae,Smerinthini,Smerinthus,cerisyi,19,Smerinthus cerisyi Kirby,Broadleaf trees/shrubs,209,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Sphingidae ,Smerinthinae,Smerinthini,Smerinthus,saliceti,4,Smerinthus saliceti Boisduval,Broadleaf trees/shrubs,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sphingidae ,Sphinginae,Sphingini,Manduca,sexta,1,Manduca sexta (Linnaeus),Herbaceous,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
